ID;UF;LON;LAT;ANNUAL
626;RS;-528.490;-309.005;4405
627;RS;-527.490;-309.005;4398
628;RS;-526.490;-309.005;4357
629;RS;-525.490;-309.005;4342
630;RS;-524.490;-309.005;4357
631;RS;-523.490;-309.005;4339
632;RS;-522.490;-309.005;4335
633;RS;-521.490;-309.005;4324
634;RS;-520.490;-309.005;4312
635;RS;-519.490;-309.005;4309
636;RS;-518.490;-309.005;4297
637;RS;-517.490;-309.005;4317
638;RS;-516.490;-309.005;4340
639;RS;-515.490;-309.005;4393
640;RS;-514.490;-309.005;4470
641;RS;-513.490;-309.005;4526
642;RS;-512.490;-309.005;4568
643;RS;-511.490;-309.005;4577
644;RS;-510.490;-309.005;4567
645;RS;-509.490;-309.005;4513
646;RS;-508.490;-309.005;4481
647;RS;-507.490;-309.005;4457
648;RS;-506.490;-309.005;4392
649;RS;-505.490;-309.005;4463
650;RS;-560.490;-308.005;4740
651;RS;-559.490;-308.005;4738
652;RS;-558.490;-308.005;4737
653;RS;-557.490;-308.005;4724
654;RS;-556.490;-308.005;4693
655;RS;-555.490;-308.005;4650
656;RS;-554.490;-308.005;4633
657;RS;-553.490;-308.005;4627
658;RS;-552.490;-308.005;4625
659;RS;-551.490;-308.005;4628
660;RS;-550.490;-308.005;4628
661;RS;-549.490;-308.005;4637
662;RS;-548.490;-308.005;4641
663;RS;-547.490;-308.005;4628
664;RS;-546.490;-308.005;4624
665;RS;-545.490;-308.005;4638
666;RS;-544.490;-308.005;4629
667;RS;-543.490;-308.005;4628
668;RS;-542.490;-308.005;4613
669;RS;-541.490;-308.005;4597
670;RS;-540.490;-308.005;4577
671;RS;-539.490;-308.005;4549
672;RS;-538.490;-308.005;4520
673;RS;-537.490;-308.005;4511
674;RS;-536.490;-308.005;4509
675;RS;-535.490;-308.005;4497
676;RS;-534.490;-308.005;4484
677;RS;-533.490;-308.005;4490
678;RS;-532.490;-308.005;4490
679;RS;-531.490;-308.005;4490
680;RS;-530.490;-308.005;4457
681;RS;-529.490;-308.005;4430
682;RS;-528.490;-308.005;4414
683;RS;-527.490;-308.005;4410
684;RS;-526.490;-308.005;4390
685;RS;-525.490;-308.005;4360
686;RS;-524.490;-308.005;4343
687;RS;-523.490;-308.005;4338
688;RS;-522.490;-308.005;4329
689;RS;-521.490;-308.005;4310
690;RS;-520.490;-308.005;4303
691;RS;-519.490;-308.005;4299
692;RS;-518.490;-308.005;4277
693;RS;-517.490;-308.005;4279
694;RS;-516.490;-308.005;4316
695;RS;-515.490;-308.005;4361
696;RS;-514.490;-308.005;4423
697;RS;-513.490;-308.005;4494
698;RS;-512.490;-308.005;4549
699;RS;-511.490;-308.005;4577
700;RS;-510.490;-308.005;4581
701;RS;-509.490;-308.005;4576
702;RS;-508.490;-308.005;4553
703;RS;-507.490;-308.005;4522
704;RS;-506.490;-308.005;4448
705;RS;-505.490;-308.005;4417
706;RS;-561.490;-307.005;4754
707;RS;-560.490;-307.005;4753
